team,_sack,_int,_ftd,_fr,_saf,_blk,games,pa_pts,pa_mean,dst_pts,pg
HOU,47.00,19,1,10,0,3,17,29.00,17.35,146.00,8.59
SEA,47.00,18,1,7,0,3,17,31.00,17.18,140.00,8.24
DEN,68.00,10,1,4,0,2,17,31.00,18.29,137.00,8.06
MIN,49.00,8,1,13,1,2,17,26.00,19.59,129.00,7.59
LA,47.00,16,1,9,0,2,17,21.00,20.35,128.00,7.53
JAX,32.00,22,2,9,1,0,17,20.00,19.76,128.00,7.53
CLE,53.00,11,3,7,0,2,17,16.00,22.29,127.00,7.47
PHI,42.00,12,1,9,1,4,17,25.00,19.12,125.00,7.35
ATL,57.00,16,1,7,0,1,17,6.00,23.59,117.00,6.88
PIT,48.00,15,1,12,1,0,17,7.00,22.76,117.00,6.88
CHI,35.00,23,2,10,0,1,17,-1.00,24.41,114.00,6.71
LAC,45.00,19,0,4,1,0,17,15.00,20.00,108.00,6.35
NO,44.00,10,1,10,0,2,17,10.00,22.53,104.00,6.12
CAR,30.00,15,2,6,0,1,17,17.00,22.35,103.00,6.06
NE,34.00,10,1,9,0,0,17,22.00,18.82,100.00,5.88
BUF,36.00,13,1,7,0,1,17,14.00,21.47,98.00,5.76
TB,37.00,13,2,10,1,0,17,1.00,24.18,98.00,5.76
IND,39.00,14,1,7,0,2,17,2.00,24.24,93.00,5.47
DET,48.00,13,0,6,1,0,17,1.00,24.29,89.00,5.24
MIA,39.00,9,0,11,1,2,17,3.00,24.94,88.00,5.18
BAL,30.00,11,1,9,0,2,17,8.00,23.41,88.00,5.18
KC,33.00,10,0,4,0,1,17,23.00,19.29,86.00,5.06
GB,36.00,7,0,7,0,0,17,15.00,21.18,79.00,4.65
LV,36.00,8,0,8,1,0,17,3.00,25.41,73.00,4.29
SF,20.00,6,1,10,0,1,17,12.00,21.82,72.00,4.24
TEN,42.00,6,1,7,1,2,17,-14.00,28.12,66.00,3.88
WAS,42.00,8,0,2,1,2,17,-4.00,26.53,64.00,3.76
NYG,38.00,9,0,6,0,0,17,-5.00,25.82,63.00,3.71
CIN,34.00,13,1,7,0,1,17,-19.00,28.94,63.00,3.71
ARI,30.00,10,0,9,0,3,17,-18.00,28.71,56.00,3.29
DAL,34.00,6,1,6,1,3,17,-21.00,30.06,51.00,3.00
NYJ,26.00,0,0,4,0,1,17,-16.00,29.59,20.00,1.18
