player_id,player_display_name,position,team_2025,games,snap_pct,proj_pg,role_pg,vor_pg,vor_season,reliability,targets,target_share,air_yards_share,wopr,carries,rz_carries,rz_targets,i10_touches,rz_share,actual_td,xtd,td_oe,passing_tds,pts_league,pts_pub4,sixpt_gap,pts_xtd,pts_league_pg,pts_xtd_pg,sixpt_gap_pg
00-0026498,Matthew Stafford,QB,LA,17,0.985,23.942,21.708,3.178,54.032,1.000,0,0.000,0.000,0.000,29,7.000,0.000,4.000,0.035,0,1.840,-1.840,46,442.380,350.380,92.000,453.420,26.022,26.672,5.412
00-0034857,Josh Allen,QB,BUF,16,0.922,22.471,21.007,1.707,29.027,1.000,0,0.000,0.000,0.000,112,33.000,0.000,22.000,0.174,14,9.590,4.410,25,414.620,364.620,50.000,388.161,25.914,24.260,3.125
00-0039851,Drake Maye,QB,NE,17,0.958,22.807,20.931,2.044,34.746,1.000,1,0.001,-0.001,0.001,103,21.000,0.000,14.000,0.123,4,6.208,-2.208,31,413.460,351.460,62.000,426.707,24.321,25.100,3.647
00-0036971,Trevor Lawrence,QB,JAX,17,0.967,22.320,22.300,1.556,26.460,1.000,0,0.000,0.000,0.000,82,23.000,0.000,14.000,0.113,9,6.277,2.723,29,396.180,338.180,58.000,379.843,23.305,22.344,3.412
00-0033077,Dak Prescott,QB,DAL,17,0.951,22.976,23.165,2.213,37.616,1.000,0,0.000,0.000,0.000,53,12.000,0.000,10.000,0.061,2,4.148,-2.148,30,373.780,313.780,60.000,386.670,21.987,22.745,3.529
00-0039918,Caleb Williams,QB,CHI,17,0.991,21.487,21.104,0.724,12.304,1.000,2,0.003,-0.001,0.005,77,20.000,1.000,8.000,0.121,4,4.259,-0.259,27,371.680,317.680,54.000,373.234,21.864,21.955,3.176
00-0033280,Christian McCaffrey,RB,SF,17,0.831,22.701,22.905,12.870,218.797,1.000,129,0.234,0.078,0.405,311,75.000,25.000,50.000,0.510,17,19.679,-2.679,0,365.600,365.600,0.000,381.675,21.506,22.451,0.000
00-0033106,Jared Goff,QB,DET,17,0.985,20.763,19.923,0.000,0.000,1.000,0,0.000,0.000,0.000,19,3.000,0.000,2.000,0.016,0,0.896,-0.896,34,365.060,297.060,68.000,370.439,21.474,21.791,4.000
00-0039732,Bo Nix,QB,DEN,17,0.996,22.359,24.012,1.596,27.126,1.000,1,0.002,0.000,0.003,83,17.000,1.000,6.000,0.110,5,3.486,1.514,25,354.840,304.840,50.000,345.757,20.873,20.339,2.941
00-0036389,Jalen Hurts,QB,PHI,16,0.976,20.338,19.453,-0.425,-7.225,1.000,0,0.000,0.000,0.000,105,27.000,0.000,15.000,0.179,8,6.944,1.056,25,349.060,299.060,50.000,342.722,21.816,21.420,3.125
00-0036223,Jonathan Taylor,RB,IND,17,0.826,17.191,16.603,7.361,125.132,1.000,55,0.110,-0.011,0.157,323,70.000,4.000,40.000,0.396,20,14.197,5.803,0,339.300,339.300,0.000,304.481,19.959,17.911,0.000
00-0036355,Justin Herbert,QB,LAC,16,0.968,22.194,22.700,1.430,24.316,1.000,0,0.000,0.000,0.000,83,13.000,0.000,6.000,0.079,2,3.051,-1.051,26,338.880,286.880,52.000,345.185,21.180,21.574,3.250
00-0038542,Bijan Robinson,RB,ATL,17,0.782,17.780,16.636,7.949,135.131,1.000,103,0.198,0.021,0.311,287,35.000,13.000,21.000,0.348,11,10.121,0.879,0,331.300,331.300,0.000,326.026,19.488,19.178,0.000
00-0033873,Patrick Mahomes,QB,KC,14,0.974,23.320,23.918,2.557,43.472,1.000,1,0.002,-0.002,0.002,64,15.000,0.000,5.000,0.081,5,2.845,2.155,22,329.180,285.180,44.000,316.251,23.513,22.589,3.143
00-0039139,Jahmyr Gibbs,RB,DET,17,0.670,16.338,15.776,6.507,110.615,1.000,94,0.162,0.015,0.253,243,52.000,15.000,26.000,0.353,18,11.501,6.499,0,328.400,328.400,0.000,289.408,19.318,17.024,0.000
00-0034855,Baker Mayfield,QB,TB,17,0.971,18.980,18.886,-1.783,-30.312,1.000,0,0.000,0.000,0.000,55,9.000,0.000,1.000,0.064,1,1.117,-0.117,26,323.920,271.920,52.000,324.621,19.054,19.095,3.059
00-0039075,Puka Nacua,WR,LA,16,0.682,16.204,14.492,6.672,113.431,1.000,166,0.301,0.319,0.675,10,1.000,17.000,11.000,0.091,11,8.039,2.961,0,310.500,310.500,0.000,292.733,19.406,18.296,0.000
00-0038543,Jaxon Smith-Njigba,WR,SEA,17,0.774,15.034,13.726,5.503,93.550,1.000,163,0.368,0.503,0.904,7,0.000,17.000,7.000,0.102,10,7.060,2.940,0,300.400,300.400,0.000,282.760,17.671,16.633,0.000
00-0039040,De'Von Achane,RB,MIA,16,0.754,15.549,14.630,5.718,97.205,1.000,85,0.188,0.011,0.289,238,32.000,11.000,16.000,0.307,12,8.241,3.759,0,289.300,289.300,0.000,266.748,18.081,16.672,0.000
00-0037248,James Cook,RB,BUF,17,0.572,14.706,13.983,4.876,82.888,1.000,40,0.082,0.006,0.127,309,56.000,3.000,27.000,0.311,14,10.557,3.443,0,285.700,285.700,0.000,265.044,16.806,15.591,0.000
00-0034869,Sam Darnold,QB,SEA,17,0.962,16.376,15.522,-4.387,-74.584,1.000,0,0.000,0.000,0.000,35,6.000,0.000,4.000,0.036,0,1.785,-1.785,25,285.420,235.420,50.000,296.127,16.789,17.419,2.941
00-0036264,Jordan Love,QB,GB,15,0.943,18.217,17.294,-2.546,-43.290,1.000,0,0.000,0.000,0.000,47,6.000,0.000,3.000,0.036,0,1.505,-1.505,23,281.140,235.140,46.000,290.168,18.743,19.345,3.067
00-0023459,Aaron Rodgers,QB,PIT,16,0.957,17.198,17.254,-3.565,-60.604,1.000,1,0.002,-0.003,0.001,21,3.000,0.000,2.000,0.018,1,0.918,0.082,24,274.580,226.580,48.000,274.091,17.161,17.131,3.000
00-0033119,Jacoby Brissett,QB,ARI,14,0.857,21.127,22.071,0.364,6.192,1.000,0,0.000,0.000,0.000,38,5.000,0.000,5.000,0.030,1,2.034,-1.034,23,273.440,227.440,46.000,279.645,19.531,19.975,3.286
00-0032764,Derrick Henry,RB,BAL,17,0.545,14.369,13.798,4.539,77.157,1.000,21,0.049,0.002,0.075,307,63.000,2.000,40.000,0.371,16,13.357,2.643,0,272.000,272.000,0.000,256.143,16.000,15.067,0.000
00-0040691,Jaxson Dart,QB,NYG,14,0.836,18.364,18.713,-2.399,-40.787,1.000,0,0.000,0.000,0.000,86,22.000,0.000,12.000,0.122,9,5.589,3.411,15,271.580,241.580,30.000,251.116,19.399,17.937,2.143
00-0036963,Amon-Ra St. Brown,WR,DET,17,0.852,15.755,15.438,6.223,105.798,1.000,172,0.317,0.387,0.746,3,1.000,35.000,21.000,0.189,11,12.487,-1.487,0,265.500,265.500,0.000,274.423,15.618,16.143,0.000
00-0035710,Daniel Jones,QB,IND,13,0.915,19.253,18.583,-1.510,-25.677,1.000,0,0.000,0.000,0.000,45,16.000,0.000,10.000,0.086,5,4.415,0.585,19,264.440,226.440,38.000,260.929,20.342,20.071,2.923
00-0039150,Bryce Young,QB,CAR,16,0.968,17.781,18.670,-2.982,-50.699,1.000,0,0.000,0.000,0.000,54,11.000,0.000,5.000,0.076,2,2.512,-0.512,23,264.040,218.040,46.000,267.112,16.503,16.695,2.875
