name,pos,team,bye,rank,adp,tier,mean_pg,floor_pg,ceil_pg,model_pg,repl_pg,games_proj,mean_season,floor_season,ceil_season,vor_season,bust_prob,injury_fade,confidence,x_games_1,x_snap_pct_1,x_target_share_1,x_td_oe_pg_1,x_pts_pg_1
Jahmyr Gibbs,RB,DET,6,1,1.500,1,16.073,10.058,21.426,17.714,9.139,14.028,225.472,107.954,364.245,97.266,0.000,False,high,17.000,0.670,0.162,0.421,19.318
Bijan Robinson,RB,ATL,11,2,2.200,1,15.935,9.826,22.506,16.839,9.139,14.028,223.543,77.223,382.605,95.337,0.000,False,high,17.000,0.782,0.198,0.058,19.488
Puka Nacua,WR,LAR,11,3,3.000,1,16.333,11.748,19.702,14.235,9.941,15.207,248.366,113.641,334.933,97.193,0.000,False,high,16.000,0.682,0.301,0.191,19.406
Ja'Marr Chase,WR,CIN,6,4,3.900,1,15.843,10.083,19.418,16.126,9.941,15.207,240.921,67.063,330.107,89.748,0.000,False,high,16.000,0.944,0.321,0.002,15.694
Jaxon Smith-Njigba,WR,SEA,11,5,5.200,1,15.271,10.638,19.824,15.625,9.941,14.750,225.247,85.466,337.001,78.618,0.000,False,high,17.000,0.774,0.368,0.178,17.671
Jonathan Taylor,RB,IND,13,6,5.900,2,15.935,9.892,20.151,14.691,9.139,14.028,223.543,71.282,342.565,95.337,0.000,False,high,17.000,0.826,0.110,0.346,19.959
Christian McCaffrey,RB,SF,8,7,6.600,2,15.935,7.537,21.376,17.009,9.139,14.028,223.543,64.912,363.389,95.337,0.116,False,high,17.000,0.831,0.234,-0.120,21.506
Amon-Ra St. Brown,WR,DET,6,8,8.000,2,14.450,8.357,16.124,15.003,9.941,14.750,213.124,83.483,274.115,66.495,0.204,False,high,17.000,0.852,0.317,-0.079,15.618
James Cook III,RB,BUF,7,9,9.300,2,15.170,12.108,22.033,13.533,9.139,14.028,212.813,104.360,374.566,84.607,0.000,False,high,17.000,0.572,0.082,0.181,16.806
Derrick Henry,RB,BAL,13,10,9.700,2,14.746,8.913,19.554,13.948,9.139,14.028,206.857,53.257,332.425,78.651,0.021,False,high,17.000,0.545,0.049,0.099,16.000
De'Von Achane,RB,MIA,6,11,11.700,2,14.660,10.490,21.103,12.469,9.139,14.028,205.651,127.862,358.758,77.445,0.000,False,high,16.000,0.754,0.188,0.273,18.081
Drake London,WR,ATL,11,12,12.000,2,13.852,9.358,16.994,13.114,9.941,14.750,204.304,85.539,288.895,57.675,0.076,False,med,12.000,0.907,0.297,0.073,13.992
CeeDee Lamb,WR,DAL,14,13,12.500,2,13.705,8.736,16.237,13.015,9.941,14.750,202.148,81.113,276.030,55.519,0.161,False,med,13.000,0.729,0.251,-0.245,12.569
Justin Jefferson,WR,MIN,6,14,14.400,3,13.705,9.108,15.842,14.140,9.941,14.750,202.148,71.102,269.317,55.519,0.124,False,high,17.000,0.942,0.307,-0.314,9.382
Chase Brown,RB,CIN,6,15,15.100,3,14.350,10.810,17.299,11.588,9.139,14.028,201.312,139.884,294.087,73.106,0.000,False,high,17.000,0.666,0.143,0.012,14.594
Rashee Rice,WR,KC,5,16,15.200,3,13.705,7.790,15.294,11.622,9.941,14.750,202.148,61.891,259.992,55.519,0.367,True,low,8.000,0.749,0.290,-0.231,15.450
Saquon Barkley,RB,PHI,10,17,17.600,3,14.350,8.113,17.779,13.188,9.139,14.028,201.312,56.007,302.249,73.106,0.106,False,high,16.000,0.783,0.121,-0.094,13.363
Nico Collins,WR,HOU,8,18,18.400,3,13.210,8.993,15.294,13.562,9.941,14.750,194.840,67.335,259.997,48.212,0.151,False,high,15.000,0.772,0.242,-0.036,12.713
Ashton Jeanty,RB,LV,13,19,18.900,3,14.350,8.097,18.770,13.320,9.139,14.028,201.312,83.103,319.090,73.106,0.098,False,high,17.000,0.779,0.148,0.056,12.800
George Pickens,WR,DAL,14,20,19.900,3,11.864,8.396,13.903,12.298,9.941,14.750,174.984,78.640,236.354,28.356,0.281,False,high,17.000,0.811,0.225,0.054,14.435
A.J. Brown,WR,NE,11,21,20.000,3,11.864,9.521,12.506,12.461,9.941,14.750,174.984,89.761,212.596,28.356,0.141,False,high,15.000,0.907,0.287,0.125,12.087
Kenneth Walker III,RB,KC,5,22,20.500,3,13.254,5.540,14.562,12.660,9.139,14.028,185.925,33.403,247.558,57.719,0.399,False,high,17.000,0.469,0.083,-0.069,10.376
Chris Olave,WR,NO,8,23,23.200,4,11.814,9.958,14.319,9.293,9.941,14.750,174.248,111.604,243.424,27.619,0.000,False,high,16.000,0.843,0.292,0.187,13.625
Omarion Hampton,RB,LAC,7,24,24.000,4,13.254,7.210,15.446,14.253,9.139,14.028,185.925,92.923,262.586,57.719,0.314,True,med,9.000,0.634,0.118,-0.078,13.300
Zay Flowers,WR,BAL,13,25,25.200,4,11.814,7.882,14.803,12.624,9.941,14.750,174.248,73.582,251.650,27.619,0.298,False,high,17.000,0.865,0.299,0.070,11.782
Josh Jacobs,RB,GB,11,26,25.400,4,12.887,7.464,15.582,14.210,9.139,13.828,178.194,54.031,264.893,51.823,0.206,False,high,15.000,0.591,0.102,0.143,14.607
Malik Nabers,WR,NYG,8,27,26.200,4,11.673,8.677,15.044,12.008,9.941,14.711,171.721,68.072,255.751,25.472,0.279,True,low,4.000,0.795,0.271,0.009,12.025
Kyren Williams,RB,LAR,11,28,27.400,4,12.887,8.375,17.365,13.554,9.139,13.828,178.194,75.252,295.209,51.823,0.085,False,high,17.000,0.683,0.081,0.051,14.429
Jeremiyah Love,RB,ARI,14,29,29.000,4,11.619,5.143,13.154,9.278,9.139,13.518,157.073,26.789,223.624,33.529,0.499,False,none,,,,,
Tetairoa McMillan,WR,CAR,5,30,30.700,4,11.673,8.937,15.695,10.830,9.941,14.711,171.721,82.958,266.819,25.472,0.149,False,high,17.000,0.872,0.257,0.076,10.376
Garrett Wilson,WR,NYJ,13,31,31.100,4,11.673,7.416,14.721,10.835,9.941,14.711,171.721,58.976,250.258,25.472,0.426,True,low,7.000,0.870,0.354,0.307,11.643
DeVonta Smith,WR,PHI,10,32,31.600,4,11.673,6.991,13.771,11.583,9.941,14.711,171.721,68.393,234.103,25.472,0.435,False,high,17.000,0.844,0.246,-0.028,9.606
Josh Allen,QB,BUF,7,33,33.000,5,24.382,24.382,33.697,21.437,20.185,15.430,376.226,304.519,572.857,64.769,0.000,False,high,16.000,0.922,0.000,0.220,25.914
Javonte Williams,RB,DAL,14,34,33.200,5,11.619,6.430,12.891,12.089,9.139,13.518,157.073,73.520,219.154,33.529,0.419,False,high,16.000,0.690,0.086,-0.071,14.081
Breece Hall,RB,NYJ,13,35,33.500,5,11.125,5.987,11.751,11.470,9.139,13.518,150.390,60.363,199.759,26.846,0.547,False,high,16.000,0.644,0.106,-0.078,11.979
Emeka Egbuka,WR,TB,10,36,33.700,5,11.673,7.540,15.339,10.082,9.941,14.711,171.721,68.853,260.759,25.472,0.308,False,high,17.000,0.776,0.236,0.042,9.659
Tee Higgins,WR,CIN,6,37,35.900,5,11.673,7.096,13.948,11.993,9.941,14.711,171.721,60.717,237.120,25.472,0.415,False,high,15.000,0.809,0.183,0.365,12.140
Travis Etienne Jr.,RB,NO,8,38,37.300,5,11.125,5.151,12.441,10.517,9.139,13.518,150.390,46.418,211.499,26.846,0.547,False,high,17.000,0.601,0.098,0.114,13.876
Trey McBride,TE,ARI,14,39,37.800,5,12.997,11.472,16.220,8.404,7.186,14.995,194.890,138.361,275.744,87.133,0.000,False,high,17.000,0.914,0.279,0.046,14.876
Davante Adams,WR,LAR,11,40,37.900,5,11.226,8.166,13.566,9.716,9.941,14.711,165.150,57.118,230.620,18.901,0.329,False,high,14.000,0.714,0.251,0.131,13.779
Cam Skattebo,RB,NYG,8,41,38.400,5,11.125,7.049,13.514,10.026,9.139,13.518,150.390,46.206,229.744,26.846,0.403,True,low,8.000,,0.129,0.193,14.463
