season,repl,tier,gain_pg,gain_season
2012,11,QB1,2.4475,39.1600
2012,11,top3,1.9058,30.4933
2012,11,top6,1.1774,18.8378
2012,13,QB1,2.0000,32.0000
2012,13,top3,1.4583,23.3333
2012,13,top6,0.7299,11.6778
2012,15,QB1,2.6550,42.4800
2012,15,top3,2.1133,33.8133
2012,15,top6,1.3849,22.1578
2013,11,QB1,3.6250,58.0000
2013,11,top3,2.0513,32.8205
2013,11,top6,1.2303,19.6843
2013,13,QB1,3.7799,60.4787
2013,13,top3,2.2062,35.2992
2013,13,top6,1.3852,22.1630
2013,15,QB1,4.1187,65.8985
2013,15,top3,2.5449,40.7190
2013,15,top6,1.7239,27.5828
2014,11,QB1,1.4567,23.3080
2014,11,top3,1.1605,18.5680
2014,11,top6,0.8151,13.0413
2014,13,QB1,1.2162,19.4600
2014,13,top3,0.9200,14.7200
2014,13,top6,0.5746,9.1933
2014,15,QB1,1.4750,23.6000
2014,15,top3,1.1787,18.8600
2014,15,top6,0.8333,13.3333
2015,11,QB1,0.4936,7.8971
2015,11,top3,0.4936,7.8971
2015,11,top6,0.4694,7.5102
2015,13,QB1,0.3712,5.9400
2015,13,top3,0.3712,5.9400
2015,13,top6,0.3471,5.5530
2015,15,QB1,0.7500,12.0000
2015,15,top3,0.7500,12.0000
2015,15,top6,0.7258,11.6130
2016,11,QB1,2.1027,33.6427
2016,11,top3,1.9082,30.5316
2016,11,top6,1.5296,24.4741
2016,13,QB1,2.0013,32.0213
2016,13,top3,1.8069,28.9102
2016,13,top6,1.4283,22.8528
2016,15,QB1,2.1250,34.0000
2016,15,top3,1.9306,30.8889
2016,15,top6,1.5520,24.8314
2017,11,QB1,2.1292,34.0677
2017,11,top3,1.3895,22.2325
2017,11,top6,1.0045,16.0718
2017,13,QB1,2.0709,33.1344
2017,13,top3,1.3312,21.2991
2017,13,top6,0.9462,15.1385
2017,15,QB1,2.1738,34.7815
2017,15,top3,1.4341,22.9463
2017,15,top6,1.0491,16.7856
2018,11,QB1,2.3759,38.0143
2018,11,top3,1.0842,17.3476
2018,11,top6,0.7649,12.2385
2018,13,QB1,2.3050,36.8800
2018,13,top3,1.0133,16.2133
2018,13,top6,0.6940,11.1042
2018,15,QB1,2.6700,42.7200
2018,15,top3,1.3783,22.0533
2018,15,top6,1.0590,16.9442
2019,11,QB1,1.9812,31.7000
2019,11,top3,1.5930,25.4879
2019,11,top6,1.4280,22.8483
2019,13,QB1,1.6638,26.6200
2019,13,top3,1.2755,20.4079
2019,13,top6,1.1105,17.7683
2019,15,QB1,1.1077,17.7231
2019,15,top3,0.7194,11.5110
2019,15,top6,0.5545,8.8714
2020,11,QB1,0.6917,11.0667
2020,11,top3,0.8556,13.6889
2020,11,top6,0.3028,4.8444
2020,13,QB1,1.4056,22.4889
2020,13,top3,1.5694,25.1111
2020,13,top6,1.0167,16.2667
2020,15,QB1,1.6208,25.9333
2020,15,top3,1.7847,28.5556
2020,15,top6,1.2319,19.7111
2021,11,QB1,0.7355,12.5037
2021,11,top3,1.0885,18.5037
2021,11,top6,0.8603,14.6253
2021,13,QB1,0.6639,11.2857
2021,13,top3,1.0168,17.2857
2021,13,top6,0.7887,13.4073
2021,15,QB1,1.1625,19.7618
2021,15,top3,1.5154,25.7618
2021,15,top6,1.2873,21.8834
2022,11,QB1,1.1505,19.5580
2022,11,top3,1.0500,17.8506
2022,11,top6,0.6072,10.3228
2022,13,QB1,0.7326,12.4547
2022,13,top3,0.6322,10.7472
2022,13,top6,0.1894,3.2194
2022,15,QB1,1.2032,20.4547
2022,15,top3,1.1028,18.7472
2022,15,top6,0.6600,11.2194
2023,11,QB1,0.3229,5.4896
2023,11,top3,0.1861,3.1629
2023,11,top6,0.5141,8.7396
2023,13,QB1,0.0031,0.0533
2023,13,top3,-0.1337,-2.2733
2023,13,top6,0.1943,3.3033
2023,15,QB1,0.4052,6.8888
2023,15,top3,0.2684,4.5621
2023,15,top6,0.5964,10.1388
2024,11,QB1,2.0237,34.4028
2024,11,top3,1.6610,28.2362
2024,11,top6,1.1249,19.1235
2024,13,QB1,1.6565,28.1600
2024,13,top3,1.2937,21.9933
2024,13,top6,0.7577,12.8807
2024,15,QB1,1.6068,27.3156
2024,15,top3,1.2441,21.1490
2024,15,top6,0.7080,12.0363
2025,11,QB1,-0.0164,-0.2787
2025,11,top3,0.8113,13.7917
2025,11,top6,0.6138,10.4349
2025,13,QB1,-0.2209,-3.7549
2025,13,top3,0.6068,10.3155
2025,13,top6,0.4093,6.9587
2025,15,QB1,0.2826,4.8049
2025,15,top3,1.1103,18.8753
2025,15,top6,0.9129,15.5185
