stat,label,pos,n,slope,r,r2,spearman,verdict
avail,availability,QB,754,0.6605,0.6632,0.4398,0.6480,mostly sticky
games,games played,QB,754,0.6598,0.6594,0.4348,0.6366,mostly sticky
attempts_pg,pass attempts / game,QB,328,0.5638,0.6291,0.3958,0.6063,mostly sticky
snap_pct,snap share,QB,301,0.5167,0.5958,0.3550,0.3884,half repeats
pts_pg,fantasy pts / game,QB,328,0.4732,0.4788,0.2293,0.4318,half repeats
pts_xtd_pg,TD-adj pts / game,QB,328,0.4664,0.4731,0.2238,0.4284,half repeats
carries_pg,carries / game,RB,838,0.7590,0.7569,0.5728,0.7605,very sticky
touch_pg,touches / game,RB,838,0.7498,0.7476,0.5589,0.7453,mostly sticky
pts_xtd_pg,TD-adj pts / game,RB,838,0.7346,0.7188,0.5166,0.7151,mostly sticky
pts_pg,fantasy pts / game,RB,838,0.7241,0.7042,0.4959,0.7026,mostly sticky
snap_pct,snap share,RB,775,0.6940,0.7015,0.4921,0.6940,mostly sticky
targets_pg,targets / game,RB,838,0.6627,0.6670,0.4449,0.6607,mostly sticky
routes_pg,routes / game,RB,577,0.6496,0.6544,0.4283,0.6541,mostly sticky
rz_touch_pg,red-zone touches / g,RB,838,0.6439,0.6276,0.3939,0.6444,mostly sticky
i10_touch_pg,inside-10 touches / g,RB,838,0.5777,0.5676,0.3221,0.5951,mostly sticky
td_pg,TDs / game,RB,838,0.5358,0.5177,0.2680,0.5267,half repeats
target_share,target share,RB,324,0.4808,0.4805,0.2308,0.4177,half repeats
games,games played,RB,1433,0.3907,0.3621,0.1311,0.3663,half repeats
avail,availability,RB,1433,0.3856,0.3590,0.1289,0.3588,half repeats
yac_per_carry,yds after contact/car,RB,296,0.2664,0.2661,0.0708,0.2275,mostly noise
yac_per_rec,YAC per reception,RB,302,0.2123,0.2045,0.0418,0.2010,mostly noise
ypc,yards per carry,RB,538,0.1749,0.1724,0.0297,0.1597,mostly noise
catch_rate,catch rate,RB,220,0.1436,0.1393,0.0194,0.0780,noise
td_oe_pg,TDs over expected / g,RB,838,0.1058,0.1060,0.0112,0.0984,noise
pts_xtd_pg,TD-adj pts / game,TE,692,0.7503,0.7378,0.5444,0.7150,very sticky
touch_pg,touches / game,TE,692,0.7457,0.7407,0.5486,0.7262,mostly sticky
targets_pg,targets / game,TE,692,0.7437,0.7397,0.5472,0.7251,mostly sticky
pts_pg,fantasy pts / game,TE,692,0.7318,0.7182,0.5157,0.6922,mostly sticky
air_yards_share,air-yards share,TE,401,0.7155,0.7055,0.4977,0.6895,mostly sticky
yprr,yards per route,TE,392,0.6584,0.6473,0.4190,0.6122,mostly sticky
target_share,target share,TE,401,0.6403,0.6436,0.4142,0.6327,mostly sticky
snap_pct,snap share,TE,647,0.6381,0.6443,0.4151,0.6315,mostly sticky
routes_pg,routes / game,TE,485,0.6345,0.6251,0.3908,0.6222,mostly sticky
adot,aDOT,TE,401,0.6023,0.5888,0.3467,0.5750,mostly sticky
rz_touch_pg,red-zone touches / g,TE,692,0.5537,0.5362,0.2875,0.5476,mostly sticky
ypr,yards per reception,TE,322,0.5018,0.4829,0.2331,0.4341,half repeats
games,games played,TE,1208,0.4914,0.4878,0.2379,0.4956,half repeats
avail,availability,TE,1208,0.4862,0.4850,0.2352,0.4932,half repeats
yac_per_rec,YAC per reception,TE,322,0.4617,0.4538,0.2060,0.4058,half repeats
i10_touch_pg,inside-10 touches / g,TE,692,0.4432,0.4363,0.1903,0.4457,half repeats
td_pg,TDs / game,TE,692,0.4381,0.4360,0.1901,0.4218,half repeats
catch_rate,catch rate,TE,292,0.4140,0.4047,0.1637,0.4089,half repeats
td_oe_pg,TDs over expected / g,TE,692,0.1516,0.1601,0.0256,0.1309,mostly noise
targets_pg,targets / game,WR,1355,0.7910,0.7826,0.6124,0.7770,very sticky
touch_pg,touches / game,WR,1355,0.7862,0.7781,0.6055,0.7749,very sticky
pts_xtd_pg,TD-adj pts / game,WR,1355,0.7839,0.7722,0.5963,0.7668,very sticky
pts_pg,fantasy pts / game,WR,1355,0.7574,0.7484,0.5602,0.7413,very sticky
air_yards_share,air-yards share,WR,1056,0.7181,0.6963,0.4849,0.6970,mostly sticky
snap_pct,snap share,WR,1259,0.7117,0.7181,0.5157,0.7152,mostly sticky
target_share,target share,WR,1056,0.6975,0.6930,0.4802,0.6943,mostly sticky
routes_pg,routes / game,WR,953,0.6941,0.6992,0.4889,0.6661,mostly sticky
adot,aDOT,WR,1056,0.6896,0.6800,0.4625,0.6652,mostly sticky
yprr,yards per route,WR,790,0.6147,0.5809,0.3374,0.5674,mostly sticky
rz_touch_pg,red-zone touches / g,WR,1355,0.6088,0.6004,0.3605,0.5997,mostly sticky
td_pg,TDs / game,WR,1355,0.4883,0.4898,0.2399,0.4926,half repeats
i10_touch_pg,inside-10 touches / g,WR,1355,0.4803,0.4686,0.2196,0.4844,half repeats
catch_rate,catch rate,WR,896,0.4765,0.4655,0.2167,0.4689,half repeats
ypr,yards per reception,WR,858,0.4668,0.4603,0.2118,0.4730,half repeats
yac_per_rec,YAC per reception,WR,858,0.4607,0.4708,0.2217,0.4183,half repeats
avail,availability,WR,2129,0.4179,0.3955,0.1564,0.3970,half repeats
games,games played,WR,2129,0.4170,0.3933,0.1547,0.3970,half repeats
td_oe_pg,TDs over expected / g,WR,1355,0.0878,0.0909,0.0083,0.0826,noise
