2026 DRAFT BOARD — GovSmart Gridiron — Pick #3 (LIVE TRACKER)
VERIFIED from Sleeper: 12-team snake | 0.5 PPR | 6-pt passing TDs | $100 FAAB | slot #3 | draft Fri Sep 4 5:30 PM ET | 90s pick timer
ROSTER: QB/RB/RB/WR/WR/TE/FLEX/DEF + 4 bench. 12 rounds. NO KICKER. A DEFENSE is a required starter. 2 IR slots.
6-pt pass TDs lift EVERY QB — take a top-6 QB by rounds 5-8.
"Your 12 picks (snake, slot 3): 3, 22, 27, 46, 51, 70, 75, 94, 99, 118, 123, 142"

LIVE TRACKER — mark x in Drafted? (col I) for EVERY pick; ALSO x in MINE? (col J) for yours. Counters update live.
,QB,RB,WR,TE
My roster count,"=COUNTIFS($D$41:$D$169,B$8,$J$41:$J$169,""x"")","=COUNTIFS($D$41:$D$169,C$8,$J$41:$J$169,""x"")","=COUNTIFS($D$41:$D$169,D$8,$J$41:$J$169,""x"")","=COUNTIFS($D$41:$D$169,E$8,$J$41:$J$169,""x"")"
Starters still needed,"=MAX(0,1-B9)","=MAX(0,2-C9)","=MAX(0,2-D9)","=MAX(0,1-E9)","(+1 FLEX, +1 DEF in R12)"
Top-tier left (undrafted),"=COUNTIFS($D$41:$D$169,B$8,$B$41:$B$169,""T5"",$I$41:$I$169,""<>x"")+COUNTIFS($D$41:$D$169,B$8,$B$41:$B$169,""T6"",$I$41:$I$169,""<>x"")","=COUNTIFS($D$41:$D$169,C$8,$B$41:$B$169,""T1"",$I$41:$I$169,""<>x"")+COUNTIFS($D$41:$D$169,C$8,$B$41:$B$169,""T2"",$I$41:$I$169,""<>x"")","=COUNTIFS($D$41:$D$169,D$8,$B$41:$B$169,""T1"",$I$41:$I$169,""<>x"")+COUNTIFS($D$41:$D$169,D$8,$B$41:$B$169,""T2"",$I$41:$I$169,""<>x"")","=COUNTIFS($D$41:$D$169,E$8,$B$41:$B$169,""T5"",$I$41:$I$169,""<>x"")+COUNTIFS($D$41:$D$169,E$8,$B$41:$B$169,""T6"",$I$41:$I$169,""<>x"")"
Next tier left,"=COUNTIFS($D$41:$D$169,B$8,$B$41:$B$169,""T7"",$I$41:$I$169,""<>x"")+COUNTIFS($D$41:$D$169,B$8,$B$41:$B$169,""T8"",$I$41:$I$169,""<>x"")","=COUNTIFS($D$41:$D$169,C$8,$B$41:$B$169,""T3"",$I$41:$I$169,""<>x"")+COUNTIFS($D$41:$D$169,C$8,$B$41:$B$169,""T4"",$I$41:$I$169,""<>x"")","=COUNTIFS($D$41:$D$169,D$8,$B$41:$B$169,""T3"",$I$41:$I$169,""<>x"")+COUNTIFS($D$41:$D$169,D$8,$B$41:$B$169,""T4"",$I$41:$I$169,""<>x"")","=COUNTIFS($D$41:$D$169,E$8,$B$41:$B$169,""T8"",$I$41:$I$169,""<>x"")+COUNTIFS($D$41:$D$169,E$8,$B$41:$B$169,""T9"",$I$41:$I$169,""<>x"")"
My bye weeks:,5,6,7,8,9,10,11,13,14
Count (3+ same bye = fix it),"=COUNTIFS($F$41:$F$169,B$13,$J$41:$J$169,""x"")","=COUNTIFS($F$41:$F$169,C$13,$J$41:$J$169,""x"")","=COUNTIFS($F$41:$F$169,D$13,$J$41:$J$169,""x"")","=COUNTIFS($F$41:$F$169,E$13,$J$41:$J$169,""x"")","=COUNTIFS($F$41:$F$169,F$13,$J$41:$J$169,""x"")","=COUNTIFS($F$41:$F$169,G$13,$J$41:$J$169,""x"")","=COUNTIFS($F$41:$F$169,H$13,$J$41:$J$169,""x"")","=COUNTIFS($F$41:$F$169,I$13,$J$41:$J$169,""x"")","=COUNTIFS($F$41:$F$169,J$13,$J$41:$J$169,""x"")"

ROUND-BY-ROUND — BEST PLAYER TO TARGET AT EACH PICK
Rd,Your Pick,On Board (ADP),BEST TARGET (take one),Fallbacks / Best Available,Plan
1,3,1-6,Ja'Marr Chase or Puka Nacua (elite WR1),Jaxon Smith-Njigba; Bijan Robinson if he slips,Gibbs & Bijan usually gone 1-2. Lock an elite WR. Don't overthink it.
2,22,18-25,Kenneth Walker III or Omarion Hampton (anchor an RB),Ashton Jeanty if he slides (ankle discount); Nico Collins / A.J. Brown (WR),RB dries up fast. Grab your RB1 at the turn.
3,27,24-31,Malik Nabers or Zay Flowers (WR); Kyren Williams (RB),Chris Olave; Jeremiyah Love; DeVonta Smith,You pick 22 & 27 back-to-back. Take whichever position you skipped at 22.
4,46,43-52,Brock Bowers (elite-TE edge) OR Terry McLaurin / DJ Moore (WR),Bucky Irving; Quinshon Judkins (RB),Only 12 rounds — Bowers here locks TE and frees every later pick.
5,51,48-58,RB Quinshon Judkins or WR Mike Evans — keep stacking starters,Bucky Irving; Rome Odunze; Jaylen Waddle,Do NOT take a QB here. Top QB is worth ~60 pts over replacement; a top RB is worth ~227.
6,70,60-72,DK Metcalf / Marvin Harrison Jr. (WR upside),TreVeyon Henderson (RB); Christian Watson,Fill your last open starting WR or RB here. Still not QB.
7,75,72-80,Jordan Addison / Jayden Reed (WR),Tony Pollard (RB); a starting TE if you still need one,Bench is only 4 deep — starters beat lottery tickets.
8,94,87-99,Finish your 7 offensive starters — best WR/RB/TE left,Tyler Warren / Kyle Pitts (TE); Matthew Golden (WR),Every starter filled before you spend a pick on QB.
9,99,94-104,QB NOW — Stafford / Prescott / Herbert / Lawrence / Mahomes,Best FLEX left if two QBs you like are still there,"The QB window. 2025: Stafford +92 pts from the 6-pt rule vs Allen +50, at 56 picks cheaper."
10,118,110-123,"Handcuff your RB1/RB2 (RJ Harvey, Jonathon Brooks)",Kyle Pitts (TE2); Justin Herbert / Bo Nix (QB2),Only 4 bench spots — protect the studs you already paid for.
11,123,Best avail.,Best upside swing left on the board,2nd TE or QB if you're thin there,Last real value pick. Ceiling over floor.
12,142,Last pick,DEFENSE — Seattle / Denver / Houston (best Week-1 matchup),—,NO KICKER in this league. DEF is a required starter — this is the pick for it.

