season,pos,model,n,mae,rmse,spearman,top_hit
2016,QB,p_model,22,3.241429532083747,4.234116741834886,-0.05815923207227556,0.42857142857142855
2016,QB,b_adp,22,2.563519867223143,3.4817351738800126,0.39877379389104367,0.7142857142857143
2016,RB,p_model,53,3.742070544623309,4.760479704846673,0.1637639090469279,0.29411764705882354
2016,RB,b_adp,53,3.374736303429067,4.336733215694002,0.35987733595461,0.5294117647058824
2016,TE,p_model,18,0.940978373998373,1.4962414563068316,0.7523219814241485,0.6666666666666666
2016,TE,b_adp,18,1.7005975428892102,1.9390774411056646,0.6163055436853303,0.6666666666666666
2016,WR,p_model,54,2.3466491785622363,2.7991579007225775,0.6015742630073502,0.6111111111111112
2016,WR,b_adp,54,2.166479033445058,2.625942505421433,0.5695672381432275,0.6111111111111112
2017,QB,p_model,22,3.1366224819228448,3.7127180590752595,0.36871823828345573,0.5714285714285714
2017,QB,b_adp,22,2.8068496805599215,3.580304299621665,0.29409798742573545,0.42857142857142855
2017,RB,p_model,48,3.242202769944768,3.984124786765969,0.5644421528932958,0.6875
2017,RB,b_adp,48,3.0849861309261755,3.9304485998595804,0.572691188304579,0.6875
2017,TE,p_model,21,2.5033347438655915,3.209893471216898,0.2753246753246753,0.5714285714285714
2017,TE,b_adp,21,1.8016651767044085,2.6230521877581032,0.5335319623800189,0.5714285714285714
2017,WR,p_model,62,2.633443118604086,3.4119958303915574,0.4962101181032963,0.65
2017,WR,b_adp,62,2.609671559889751,3.2944925951776445,0.570605517117401,0.6
2018,QB,p_model,25,3.887866372805827,5.467593214806869,0.17153846153846153,0.375
2018,QB,b_adp,25,3.0882539414766517,4.092702575203994,0.5448560853324136,0.5
2018,RB,p_model,53,3.5333124384548533,4.550862227022333,0.5135162377320911,0.5882352941176471
2018,RB,b_adp,53,3.2297651819994386,4.270832676814809,0.5889349664130723,0.6470588235294118
2018,TE,p_model,20,2.0040686309919282,2.686775716587817,0.6195488721804511,0.6666666666666666
2018,TE,b_adp,20,2.3341981315432525,2.8595353888783706,0.2511815762394167,0.5
2018,WR,p_model,64,2.4132389801042846,2.972507530507369,0.7274121728060456,0.7142857142857143
2018,WR,b_adp,64,2.3106501677261972,2.82401859536375,0.7185272257785881,0.7619047619047619
2019,QB,p_model,24,4.149846148027922,5.810807594379965,-0.009565217391304347,0.375
2019,QB,b_adp,24,3.666494335728119,5.349494304269678,0.30375639336869165,0.375
2019,RB,p_model,50,2.849866819702042,3.646217443680847,0.676734693877551,0.6875
2019,RB,b_adp,50,2.531853478423765,3.4820505018993555,0.8028836454930821,0.6875
2019,TE,p_model,17,2.196674128924828,2.7861436782045605,0.5465686274509804,0.8
2019,TE,b_adp,17,2.3065090200873892,2.810381003185587,0.4412145162687163,0.6
2019,WR,p_model,62,2.495348731738775,3.216665983548596,0.5583913574938036,0.65
2019,WR,b_adp,62,2.4704703682280225,3.157493225702327,0.5722752180741042,0.6
2020,QB,p_model,26,4.2048001159603485,5.193339796070058,0.4721367521367521,0.625
2020,QB,b_adp,26,3.7858508771368076,4.786136676417215,0.6764661141484987,0.75
2020,RB,p_model,55,3.1612238251641878,4.022927450015455,0.6443722943722946,0.7222222222222222
2020,RB,b_adp,55,2.9933981345125766,3.925302971089438,0.698583177597341,0.7777777777777778
2020,TE,p_model,22,2.0423071708493747,2.6758854496170845,0.30321852060982496,0.5714285714285714
2020,TE,b_adp,22,1.71884934507682,2.266252892936283,0.5431535648560131,0.5714285714285714
2020,WR,p_model,58,2.1929068501280993,2.7266163633942817,0.6004798671137224,0.631578947368421
2020,WR,b_adp,58,1.9828272951104091,2.5847045187088473,0.7149951407138971,0.5789473684210527
2021,QB,p_model,22,3.3058989853274556,4.701332396633043,0.6352343308865049,0.5714285714285714
2021,QB,b_adp,22,3.1639425563871373,4.47254397804345,0.784723058074943,0.8571428571428571
2021,RB,p_model,59,2.807020242433704,3.4158805083314125,0.7138515488018704,0.7368421052631579
2021,RB,b_adp,59,2.5402899313842133,3.2693306141763627,0.7588009364943998,0.7894736842105263
2021,TE,p_model,20,1.9585591968304747,2.4725833114781817,0.5954887218045113,0.8333333333333334
2021,TE,b_adp,20,1.9203700932698786,2.4591653981390706,0.6860756438503527,1.0
2021,WR,p_model,64,2.355977328609314,3.22999689154567,0.534478021978022,0.6666666666666666
2021,WR,b_adp,64,2.4654242791299965,3.163226530597725,0.5548835744309345,0.6190476190476191
2022,QB,p_model,21,4.417971400221511,5.5370509128526555,0.287012987012987,0.42857142857142855
2022,QB,b_adp,21,3.8098803387277647,4.891244655486972,0.4795648548240895,0.7142857142857143
2022,RB,p_model,49,2.9463279708665557,3.576242517186906,0.5821428571428571,0.6875
2022,RB,b_adp,49,2.6203811022664634,3.3040172213108474,0.6317413635190351,0.6875
2022,TE,p_model,19,1.9625324108508793,2.453718524892505,0.5087719298245614,0.5
2022,TE,b_adp,19,1.8008656349933847,2.213506890312242,0.4853415199397674,0.5
2022,WR,p_model,56,1.7675751163118067,2.1452191646900065,0.7731373889268627,0.6111111111111112
2022,WR,b_adp,56,1.8967720920857165,2.202889692177027,0.7549265647836104,0.6666666666666666
2023,QB,p_model,23,4.294359607260945,6.168678940500577,0.1600790513833992,0.2857142857142857
2023,QB,b_adp,23,3.6828859446208275,5.513165732536621,0.3060154978915819,0.42857142857142855
2023,RB,p_model,57,3.0115447566735294,3.551948815677074,0.5917583575828392,0.7368421052631579
2023,RB,b_adp,57,3.136816068451137,3.7203821368590124,0.5422883953684047,0.5789473684210527
2023,TE,p_model,20,2.0144018101455297,2.3267352621831874,0.4466165413533834,0.6666666666666666
2023,TE,b_adp,20,1.8589328672119585,2.1601633121335992,0.6411218721687646,0.6666666666666666
2023,WR,p_model,65,2.2610561859967384,2.841502098568101,0.7861013986013986,0.7619047619047619
2023,WR,b_adp,65,2.2709119239223807,2.85872361836599,0.7671036248705027,0.7142857142857143
2024,QB,p_model,23,4.167888621690676,4.920749163009272,0.32411067193675897,0.5714285714285714
2024,QB,b_adp,23,3.436651586848669,4.284603236233332,0.5438419660195416,0.5714285714285714
2024,RB,p_model,50,3.2973942318873624,3.88704776424557,0.636110444177671,0.6875
2024,RB,b_adp,50,3.1403886704233894,3.715921312390275,0.650506776782073,0.6875
2024,TE,p_model,19,2.3663350195502577,2.7353162937004125,0.3385964912280702,0.5
2024,TE,b_adp,19,2.4172786307430827,2.8439167834391683,0.4968279634801141,0.6666666666666666
2024,WR,p_model,62,2.520829472562085,2.957885935636268,0.5681297373523709,0.55
2024,WR,b_adp,62,2.6177252490020724,3.116162031280017,0.5581642118422929,0.55
