season,pos,model,n,mae,rmse,spearman,top_hit
2016,QB,p_model,22,2.9389540094240214,3.89366534278001,0.2023743520638346,0.2857142857142857
2016,QB,b_adp,22,2.563519867223143,3.4817351738800126,0.39877379389104367,0.7142857142857143
2016,RB,p_model,53,3.5651896275096506,4.615807731591082,0.228995323334946,0.35294117647058826
2016,RB,b_adp,53,3.374736303429067,4.336733215694002,0.35987733595461,0.5294117647058824
2016,TE,p_model,18,1.8416332236986637,2.2248044111448495,0.6491228070175438,0.5
2016,TE,b_adp,18,1.7005975428892102,1.9390774411056646,0.6163055436853303,0.6666666666666666
2016,WR,p_model,54,2.320299179035078,2.7176343478152964,0.5735577199006209,0.6666666666666666
2016,WR,b_adp,54,2.166479033445058,2.625942505421433,0.5695672381432275,0.6111111111111112
2017,QB,p_model,22,2.823682360364458,3.369933554167788,0.339356295878035,0.42857142857142855
2017,QB,b_adp,22,2.8068496805599215,3.580304299621665,0.29409798742573545,0.42857142857142855
2017,RB,p_model,48,3.1220628234518575,3.947089033764367,0.5722039788249951,0.75
2017,RB,b_adp,48,3.0849861309261755,3.9304485998595804,0.572691188304579,0.6875
2017,TE,p_model,21,2.50552682649106,3.2139761209539137,0.14545454545454545,0.42857142857142855
2017,TE,b_adp,21,1.8016651767044085,2.6230521877581032,0.5335319623800189,0.5714285714285714
2017,WR,p_model,62,2.5436615428469302,3.296845522959216,0.5135352924882275,0.65
2017,WR,b_adp,62,2.609671559889751,3.2944925951776445,0.570605517117401,0.6
2018,QB,p_model,25,3.791714626675745,5.044528668157212,0.23846153846153845,0.5
2018,QB,b_adp,25,3.0882539414766517,4.092702575203994,0.5448560853324136,0.5
2018,RB,p_model,53,3.329175490745603,4.498791871366229,0.519805672692145,0.5882352941176471
2018,RB,b_adp,53,3.2297651819994386,4.270832676814809,0.5889349664130723,0.6470588235294118
2018,TE,p_model,20,2.104689391602309,2.944129249376406,0.41353383458646614,0.5
2018,TE,b_adp,20,2.3341981315432525,2.8595353888783706,0.2511815762394167,0.5
2018,WR,p_model,64,2.5650750984477364,3.0745343221797334,0.6906214586242148,0.7142857142857143
2018,WR,b_adp,64,2.3106501677261972,2.82401859536375,0.7185272257785881,0.7619047619047619
2019,QB,p_model,24,4.134377883576553,5.717446002011878,0.09304347826086956,0.5
2019,QB,b_adp,24,3.666494335728119,5.349494304269678,0.30375639336869165,0.375
2019,RB,p_model,50,2.6449077978319218,3.4687250461333763,0.7646098439375749,0.75
2019,RB,b_adp,50,2.531853478423765,3.4820505018993555,0.8028836454930821,0.6875
2019,TE,p_model,17,2.8354878387735174,3.2756267090955564,0.4534313725490197,0.6
2019,TE,b_adp,17,2.3065090200873892,2.810381003185587,0.4412145162687163,0.6
2019,WR,p_model,62,2.367131972695928,3.076995296421786,0.6009241888641941,0.65
2019,WR,b_adp,62,2.4704703682280225,3.157493225702327,0.5722752180741042,0.6
2020,QB,p_model,26,4.41337042065337,5.353897385303057,0.5747008547008546,0.75
2020,QB,b_adp,26,3.7858508771368076,4.786136676417215,0.6764661141484987,0.75
2020,RB,p_model,55,2.998029542705771,3.9248480829996293,0.6862193362193364,0.7777777777777778
2020,RB,b_adp,55,2.9933981345125766,3.925302971089438,0.698583177597341,0.7777777777777778
2020,TE,p_model,22,2.2472360652806227,2.7497586865446815,0.40711462450592883,0.5714285714285714
2020,TE,b_adp,22,1.71884934507682,2.266252892936283,0.5431535648560131,0.5714285714285714
2020,WR,p_model,58,2.0708306475736378,2.6178728160066203,0.6572026208126981,0.5789473684210527
2020,WR,b_adp,58,1.9828272951104091,2.5847045187088473,0.7149951407138971,0.5789473684210527
2021,QB,p_model,22,3.4665605790534615,4.609428752826517,0.68944099378882,0.5714285714285714
2021,QB,b_adp,22,3.1639425563871373,4.47254397804345,0.784723058074943,0.8571428571428571
2021,RB,p_model,59,2.611585842349118,3.2930586062556513,0.7516072472238459,0.7368421052631579
2021,RB,b_adp,59,2.5402899313842133,3.2693306141763627,0.7588009364943998,0.7894736842105263
2021,TE,p_model,20,1.9668095518191802,2.4511972917362224,0.5864661654135337,0.6666666666666666
2021,TE,b_adp,20,1.9203700932698786,2.4591653981390706,0.6860756438503527,1.0
2021,WR,p_model,64,2.3057661661411832,3.1316077444638113,0.5717032967032967,0.6190476190476191
2021,WR,b_adp,64,2.4654242791299965,3.163226530597725,0.5548835744309345,0.6190476190476191
2022,QB,p_model,21,4.126177900335823,5.208740273100394,0.4051948051948052,0.5714285714285714
2022,QB,b_adp,21,3.8098803387277647,4.891244655486972,0.4795648548240895,0.7142857142857143
2022,RB,p_model,49,2.8412993926189056,3.40124858520319,0.5990816326530611,0.6875
2022,RB,b_adp,49,2.6203811022664634,3.3040172213108474,0.6317413635190351,0.6875
2022,TE,p_model,19,1.5686470171289675,2.2002397859928493,0.5263157894736842,0.5
2022,TE,b_adp,19,1.8008656349933847,2.213506890312242,0.4853415199397674,0.5
2022,WR,p_model,56,1.9711136835245444,2.2763930053349255,0.7643198906356802,0.7222222222222222
2022,WR,b_adp,56,1.8967720920857165,2.202889692177027,0.7549265647836104,0.6666666666666666
2023,QB,p_model,23,4.069462521634879,5.951850174267295,0.25,0.42857142857142855
2023,QB,b_adp,23,3.6828859446208275,5.513165732536621,0.3060154978915819,0.42857142857142855
2023,RB,p_model,57,3.067395069468214,3.685216357156251,0.5747759719443374,0.6842105263157895
2023,RB,b_adp,57,3.136816068451137,3.7203821368590124,0.5422883953684047,0.5789473684210527
2023,TE,p_model,20,2.1438204406055608,2.481495190129478,0.43458646616541347,0.6666666666666666
2023,TE,b_adp,20,1.8589328672119585,2.1601633121335992,0.6411218721687646,0.6666666666666666
2023,WR,p_model,65,2.2901964206358802,2.8755903470020354,0.7920454545454545,0.7142857142857143
2023,WR,b_adp,65,2.2709119239223807,2.85872361836599,0.7671036248705027,0.7142857142857143
2024,QB,p_model,23,3.635590014340249,4.375308156587749,0.4990118577075099,0.5714285714285714
2024,QB,b_adp,23,3.436651586848669,4.284603236233332,0.5438419660195416,0.5714285714285714
2024,RB,p_model,50,3.220876316328889,3.7749253336492985,0.6593517406962786,0.6875
2024,RB,b_adp,50,3.1403886704233894,3.715921312390275,0.650506776782073,0.6875
2024,TE,p_model,19,2.2399055283524425,2.566802230936758,0.45614035087719296,0.6666666666666666
2024,TE,b_adp,19,2.4172786307430827,2.8439167834391683,0.4968279634801141,0.6666666666666666
2024,WR,p_model,62,2.5474560106863526,2.9786352975156665,0.5639998992722419,0.55
2024,WR,b_adp,62,2.6177252490020724,3.116162031280017,0.5581642118422929,0.55
2025,QB,p_model,26,2.7791824004154813,3.4129628329564166,0.3121367521367521,0.25
2025,QB,b_adp,26,2.8933104371963605,3.6038007454313896,0.43478877859509546,0.375
2025,RB,p_model,49,2.592275217881849,3.149319422132539,0.7824489795918368,0.75
2025,RB,b_adp,49,2.5435098440151873,3.187350612079865,0.7763889704829091,0.75
2025,TE,p_model,22,1.8892002355874935,2.316369871014836,0.5798983625070583,0.5714285714285714
2025,TE,b_adp,22,1.8185392073113555,2.1432481487275,0.5854369373503221,0.7142857142857143
2025,WR,p_model,72,2.311593222339495,2.9480158267650047,0.6208005402520709,0.625
2025,WR,b_adp,72,2.4445511370434656,3.14956443589804,0.6256048975669987,0.5833333333333334
