season,pos,model,n,mae,rmse,spearman,top_hit
2016,QB,p_model,22,3.222407614535952,3.9231867330080514,0.11236589497459064,0.5714285714285714
2016,QB,b_adp,22,2.563519867223143,3.4817351738800126,0.39877379389104367,0.7142857142857143
2016,RB,p_model,53,3.8223518836246155,4.829377462121768,0.14570230607966456,0.35294117647058826
2016,RB,b_adp,53,3.374736303429067,4.336733215694002,0.35987733595461,0.5294117647058824
2016,TE,p_model,18,0.8930795247825554,1.3584080901937274,0.7977296181630547,0.8333333333333334
2016,TE,b_adp,18,1.7005975428892102,1.9390774411056646,0.6163055436853303,0.6666666666666666
2016,WR,p_model,54,2.4474506839000782,2.988163509368517,0.5621986316750355,0.6111111111111112
2016,WR,b_adp,54,2.166479033445058,2.625942505421433,0.5695672381432275,0.6111111111111112
2017,QB,p_model,22,2.5738555047581233,3.1687436600715704,0.4240542066629024,0.42857142857142855
2017,QB,b_adp,22,2.8068496805599215,3.580304299621665,0.29409798742573545,0.42857142857142855
2017,RB,p_model,48,3.441974978249101,4.199901895029263,0.47824789009932006,0.625
2017,RB,b_adp,48,3.0849861309261755,3.9304485998595804,0.572691188304579,0.6875
2017,TE,p_model,21,2.5214984063927384,3.294876553482294,0.3051948051948052,0.5714285714285714
2017,TE,b_adp,21,1.8016651767044085,2.6230521877581032,0.5335319623800189,0.5714285714285714
2017,WR,p_model,62,2.5868945807468022,3.31520420822302,0.49923195084485406,0.65
2017,WR,b_adp,62,2.609671559889751,3.2944925951776445,0.570605517117401,0.6
2018,QB,p_model,25,4.1073802728306745,5.4958061620721095,0.07461538461538461,0.375
2018,QB,b_adp,25,3.0882539414766517,4.092702575203994,0.5448560853324136,0.5
2018,RB,p_model,53,3.640848944130196,4.674930207168626,0.4787630778887165,0.5882352941176471
2018,RB,b_adp,53,3.2297651819994386,4.270832676814809,0.5889349664130723,0.6470588235294118
2018,TE,p_model,20,2.0731814707622696,2.6838490869918563,0.5714285714285714,0.6666666666666666
2018,TE,b_adp,20,2.3341981315432525,2.8595353888783706,0.2511815762394167,0.5
2018,WR,p_model,64,2.4887696684167606,3.0603166671189097,0.7099211300960775,0.7142857142857143
2018,WR,b_adp,64,2.3106501677261972,2.82401859536375,0.7185272257785881,0.7619047619047619
2019,QB,p_model,24,4.179101030037754,5.826664787292607,-0.0017391304347826085,0.25
2019,QB,b_adp,24,3.666494335728119,5.349494304269678,0.30375639336869165,0.375
2019,RB,p_model,50,2.8358116510521643,3.6371657321630106,0.6895078031212485,0.6875
2019,RB,b_adp,50,2.531853478423765,3.4820505018993555,0.8028836454930821,0.6875
2019,TE,p_model,17,2.3322283635167596,2.879389387754189,0.5122549019607844,0.6
2019,TE,b_adp,17,2.3065090200873892,2.810381003185587,0.4412145162687163,0.6
2019,WR,p_model,62,2.319983322204328,3.081806619276207,0.5943012553825997,0.6
2019,WR,b_adp,62,2.4704703682280225,3.157493225702327,0.5722752180741042,0.6
2020,QB,p_model,26,4.332978674383557,5.2706915593051695,0.427008547008547,0.625
2020,QB,b_adp,26,3.7858508771368076,4.786136676417215,0.6764661141484987,0.75
2020,RB,p_model,55,3.1876632639015985,4.0673267708625565,0.6336219336219338,0.6666666666666666
2020,RB,b_adp,55,2.9933981345125766,3.925302971089438,0.698583177597341,0.7777777777777778
2020,TE,p_model,22,2.0194449695867847,2.5908030366229173,0.3551665725578769,0.5714285714285714
2020,TE,b_adp,22,1.71884934507682,2.266252892936283,0.5431535648560131,0.5714285714285714
2020,WR,p_model,58,2.18237646284182,2.7263871410012843,0.5742102187086653,0.631578947368421
2020,WR,b_adp,58,1.9828272951104091,2.5847045187088473,0.7149951407138971,0.5789473684210527
2021,QB,p_model,22,3.2892404413224074,4.879670433897368,0.6103896103896105,0.5714285714285714
2021,QB,b_adp,22,3.1639425563871373,4.47254397804345,0.784723058074943,0.8571428571428571
2021,RB,p_model,59,2.602296582181993,3.2990815247673595,0.7452951490356517,0.7368421052631579
2021,RB,b_adp,59,2.5402899313842133,3.2693306141763627,0.7588009364943998,0.7894736842105263
2021,TE,p_model,20,1.8608883576339905,2.343337096609116,0.6541353383458646,0.6666666666666666
2021,TE,b_adp,20,1.9203700932698786,2.4591653981390706,0.6860756438503527,1.0
2021,WR,p_model,64,2.2822350052345297,3.1508768762558304,0.5604853479853479,0.6666666666666666
2021,WR,b_adp,64,2.4654242791299965,3.163226530597725,0.5548835744309345,0.6190476190476191
2022,QB,p_model,21,4.3893513259684696,5.415211100448594,0.36623376623376624,0.5714285714285714
2022,QB,b_adp,21,3.8098803387277647,4.891244655486972,0.4795648548240895,0.7142857142857143
2022,RB,p_model,49,2.9551269717537334,3.567768772352874,0.5781632653061223,0.6875
2022,RB,b_adp,49,2.6203811022664634,3.3040172213108474,0.6317413635190351,0.6875
2022,TE,p_model,19,1.8566820878877959,2.403305893043596,0.524561403508772,0.5
2022,TE,b_adp,19,1.8008656349933847,2.213506890312242,0.4853415199397674,0.5
2022,WR,p_model,56,1.8352017652375001,2.204280566437298,0.7725905673274095,0.6666666666666666
2022,WR,b_adp,56,1.8967720920857165,2.202889692177027,0.7549265647836104,0.6666666666666666
