season,pos,model,n,mae,rmse,spearman,top_hit
2016,QB,p_model,22,3.0868080594302003,4.093472012994146,0.15315066254255194,0.42857142857142855
2016,QB,b_adp,22,2.563519867223143,3.4817351738800126,0.39877379389104367,0.7142857142857143
2016,RB,p_model,53,3.42954533555423,4.481915318922445,0.25907111756168355,0.35294117647058826
2016,RB,b_adp,53,3.374736303429067,4.336733215694002,0.35987733595461,0.5294117647058824
2016,TE,p_model,18,1.857687159753394,2.20337856844313,0.762641898864809,0.6666666666666666
2016,TE,b_adp,18,1.7005975428892102,1.9390774411056646,0.6163055436853303,0.6666666666666666
2016,WR,p_model,54,2.3076944211221613,2.720820037317125,0.5465322381827011,0.6111111111111112
2016,WR,b_adp,54,2.166479033445058,2.625942505421433,0.5695672381432275,0.6111111111111112
2017,QB,p_model,22,2.736961170833476,3.3899161334554564,0.30712713897939237,0.2857142857142857
2017,QB,b_adp,22,2.8068496805599215,3.580304299621665,0.29409798742573545,0.42857142857142855
2017,RB,p_model,48,3.22684138258432,4.03849977914082,0.6018943199763205,0.6875
2017,RB,b_adp,48,3.0849861309261755,3.9304485998595804,0.572691188304579,0.6875
2017,TE,p_model,21,2.2749716006227736,2.9681865167372674,0.1909090909090909,0.5714285714285714
2017,TE,b_adp,21,1.8016651767044085,2.6230521877581032,0.5335319623800189,0.5714285714285714
2017,WR,p_model,62,2.484620533494638,3.2785615774437415,0.5086499962227091,0.7
2017,WR,b_adp,62,2.609671559889751,3.2944925951776445,0.570605517117401,0.6
2018,QB,p_model,25,3.8214996708171434,5.061638082116211,0.15233699070025103,0.375
2018,QB,b_adp,25,3.0882539414766517,4.092702575203994,0.5448560853324136,0.5
2018,RB,p_model,53,3.4342479436463362,4.579158844064543,0.5425040821954163,0.5882352941176471
2018,RB,b_adp,53,3.2297651819994386,4.270832676814809,0.5889349664130723,0.6470588235294118
2018,TE,p_model,20,2.064792151677332,2.8510579506565925,0.437593984962406,0.5
2018,TE,b_adp,20,2.3341981315432525,2.8595353888783706,0.2511815762394167,0.5
2018,WR,p_model,64,2.6143029316899598,3.100844141078253,0.686523426366251,0.7619047619047619
2018,WR,b_adp,64,2.3106501677261972,2.82401859536375,0.7185272257785881,0.7619047619047619
2019,QB,p_model,24,4.021791714570029,5.6028220588469715,0.06869565217391303,0.375
2019,QB,b_adp,24,3.666494335728119,5.349494304269678,0.30375639336869165,0.375
2019,RB,p_model,50,2.58148420455647,3.4065775562223357,0.7797839135654261,0.75
2019,RB,b_adp,50,2.531853478423765,3.4820505018993555,0.8028836454930821,0.6875
2019,TE,p_model,17,2.9341740311081868,3.286789523591906,0.3872549019607844,0.6
2019,TE,b_adp,17,2.3065090200873892,2.810381003185587,0.4412145162687163,0.6
2019,WR,p_model,62,2.3913612889520217,3.0976176287305606,0.5888115234472859,0.65
2019,WR,b_adp,62,2.4704703682280225,3.157493225702327,0.5722752180741042,0.6
2020,QB,p_model,26,4.27732470946635,5.244038035402061,0.5569230769230769,0.75
2020,QB,b_adp,26,3.7858508771368076,4.786136676417215,0.6764661141484987,0.75
2020,RB,p_model,55,3.0480944655786604,3.961008073924629,0.688888888888889,0.7777777777777778
2020,RB,b_adp,55,2.9933981345125766,3.925302971089438,0.698583177597341,0.7777777777777778
2020,TE,p_model,22,2.233101393126827,2.8090054686856933,0.3529079616036138,0.5714285714285714
2020,TE,b_adp,22,1.71884934507682,2.266252892936283,0.5431535648560131,0.5714285714285714
2020,WR,p_model,58,2.0982111688835072,2.63764519360941,0.6565258851394999,0.5789473684210527
2020,WR,b_adp,58,1.9828272951104091,2.5847045187088473,0.7149951407138971,0.5789473684210527
2021,QB,p_model,22,3.5906188723034065,4.629909085988153,0.7560700169395823,0.7142857142857143
2021,QB,b_adp,22,3.1639425563871373,4.47254397804345,0.784723058074943,0.8571428571428571
2021,RB,p_model,59,2.5605632461002603,3.2650128005486962,0.7590882524839275,0.7368421052631579
2021,RB,b_adp,59,2.5402899313842133,3.2693306141763627,0.7588009364943998,0.7894736842105263
2021,TE,p_model,20,1.9461534641479274,2.4925468648402007,0.6646616541353383,0.6666666666666666
2021,TE,b_adp,20,1.9203700932698786,2.4591653981390706,0.6860756438503527,1.0
2021,WR,p_model,64,2.353743173532843,3.1653499612803935,0.5542582417582417,0.6190476190476191
2021,WR,b_adp,64,2.4654242791299965,3.163226530597725,0.5548835744309345,0.6190476190476191
2022,QB,p_model,21,4.4213340482632555,5.485380335464121,0.17662337662337665,0.2857142857142857
2022,QB,b_adp,21,3.8098803387277647,4.891244655486972,0.4795648548240895,0.7142857142857143
2022,RB,p_model,49,2.8373772115284517,3.3988170890968483,0.6322448979591836,0.6875
2022,RB,b_adp,49,2.6203811022664634,3.3040172213108474,0.6317413635190351,0.6875
2022,TE,p_model,19,1.7158323367464967,2.300328343859501,0.5385964912280702,0.6666666666666666
2022,TE,b_adp,19,1.8008656349933847,2.213506890312242,0.4853415199397674,0.5
2022,WR,p_model,56,1.9389845057556616,2.248992994371417,0.7736842105263159,0.7222222222222222
2022,WR,b_adp,56,1.8967720920857165,2.202889692177027,0.7549265647836104,0.6666666666666666
2023,QB,p_model,23,4.263777335137117,6.222298911769084,0.2075098814229249,0.2857142857142857
2023,QB,b_adp,23,3.6828859446208275,5.513165732536621,0.3060154978915819,0.42857142857142855
2023,RB,p_model,57,3.071660909260701,3.6821506197527962,0.5793780688158398,0.6842105263157895
2023,RB,b_adp,57,3.136816068451137,3.7203821368590124,0.5422883953684047,0.5789473684210527
2023,TE,p_model,20,2.2485408342648547,2.5963644867595024,0.45714285714285713,0.6666666666666666
2023,TE,b_adp,20,1.8589328672119585,2.1601633121335992,0.6411218721687646,0.6666666666666666
2023,WR,p_model,65,2.2867428704071227,2.8700591527676917,0.7739947552447553,0.7142857142857143
2023,WR,b_adp,65,2.2709119239223807,2.85872361836599,0.7671036248705027,0.7142857142857143
2024,QB,p_model,23,3.6251369000571554,4.3690297542198895,0.5138339920948617,0.5714285714285714
2024,QB,b_adp,23,3.436651586848669,4.284603236233332,0.5438419660195416,0.5714285714285714
2024,RB,p_model,50,3.197549322795299,3.771008099407996,0.6615606242496999,0.6875
2024,RB,b_adp,50,3.1403886704233894,3.715921312390275,0.650506776782073,0.6875
2024,TE,p_model,19,2.109392061010462,2.484634147018799,0.5543859649122806,0.6666666666666666
