season,pos,model,n,mae,rmse,spearman,top_hit
2016,QB,p_model,22,2.8190778330123014,3.8580111717533807,0.1236589497459063,0.42857142857142855
2016,QB,b_adp,22,2.563519867223143,3.4817351738800126,0.39877379389104367,0.7142857142857143
2016,RB,p_model,53,3.7489622964095246,4.83022187949561,0.16706982744718593,0.4117647058823529
2016,RB,b_adp,53,3.374736303429067,4.336733215694002,0.35987733595461,0.5294117647058824
2016,TE,p_model,18,0.884299548836998,1.3066730475704869,0.6800825593395253,0.6666666666666666
2016,TE,b_adp,18,1.7005975428892102,1.9390774411056646,0.6163055436853303,0.6666666666666666
2016,WR,p_model,54,2.3532070788936474,2.8669692315091693,0.5969620157748139,0.6111111111111112
2016,WR,b_adp,54,2.166479033445058,2.625942505421433,0.5695672381432275,0.6111111111111112
2017,QB,p_model,22,3.2262230514818655,3.8264737679928604,0.2840203274985884,0.2857142857142857
2017,QB,b_adp,22,2.8068496805599215,3.580304299621665,0.29409798742573545,0.42857142857142855
2017,RB,p_model,48,3.3086897154451527,3.93559572747878,0.491871794357058,0.625
2017,RB,b_adp,48,3.0849861309261755,3.9304485998595804,0.572691188304579,0.6875
2017,TE,p_model,21,2.459288104206826,3.1694892836760222,0.2324675324675325,0.5714285714285714
2017,TE,b_adp,21,1.8016651767044085,2.6230521877581032,0.5335319623800189,0.5714285714285714
2017,WR,p_model,62,2.573334241907476,3.3382693136946777,0.520938782705044,0.7
2017,WR,b_adp,62,2.609671559889751,3.2944925951776445,0.570605517117401,0.6
2018,QB,p_model,25,4.0946986370353295,5.489808464986939,0.2376923076923077,0.5
2018,QB,b_adp,25,3.0882539414766517,4.092702575203994,0.5448560853324136,0.5
2018,RB,p_model,53,3.3412820160051555,4.495309893026008,0.5279093677368298,0.5882352941176471
2018,RB,b_adp,53,3.2297651819994386,4.270832676814809,0.5889349664130723,0.6470588235294118
2018,TE,p_model,20,2.069242350791073,2.8609982816979618,0.48872180451127817,0.5
2018,TE,b_adp,20,2.3341981315432525,2.8595353888783706,0.2511815762394167,0.5
2018,WR,p_model,64,2.539897195436077,3.0116156856578598,0.6917432663372886,0.6666666666666666
2018,WR,b_adp,64,2.3106501677261972,2.82401859536375,0.7185272257785881,0.7619047619047619
2019,QB,p_model,24,3.7661534858308783,5.40235286336213,0.17391304347826084,0.375
2019,QB,b_adp,24,3.666494335728119,5.349494304269678,0.30375639336869165,0.375
2019,RB,p_model,50,2.695699487522356,3.533108778258953,0.763937575030012,0.75
2019,RB,b_adp,50,2.531853478423765,3.4820505018993555,0.8028836454930821,0.6875
2019,TE,p_model,17,2.39357793572652,3.0300476666238167,0.47058823529411764,0.8
2019,TE,b_adp,17,2.3065090200873892,2.810381003185587,0.4412145162687163,0.6
2019,WR,p_model,62,2.3392795645747504,3.0941859647480707,0.6022084839499784,0.55
2019,WR,b_adp,62,2.4704703682280225,3.157493225702327,0.5722752180741042,0.6
2020,QB,p_model,26,4.3644599201959995,5.314798584453843,0.5111111111111111,0.75
2020,QB,b_adp,26,3.7858508771368076,4.786136676417215,0.6764661141484987,0.75
2020,RB,p_model,55,3.18241569202331,4.033493653455039,0.6487734487734489,0.7777777777777778
2020,RB,b_adp,55,2.9933981345125766,3.925302971089438,0.698583177597341,0.7777777777777778
2020,TE,p_model,22,2.321806150597131,2.7274219138059035,0.40824392998306047,0.5714285714285714
2020,TE,b_adp,22,1.71884934507682,2.266252892936283,0.5431535648560131,0.5714285714285714
2020,WR,p_model,58,2.223624937724171,2.7376995166675364,0.6052170168261098,0.631578947368421
2020,WR,b_adp,58,1.9828272951104091,2.5847045187088473,0.7149951407138971,0.5789473684210527
2021,QB,p_model,22,3.3393021181112377,4.630500936212295,0.7425183512140034,0.7142857142857143
2021,QB,b_adp,22,3.1639425563871373,4.47254397804345,0.784723058074943,0.8571428571428571
2021,RB,p_model,59,2.728036909144534,3.451727922308104,0.7334891876095851,0.7368421052631579
2021,RB,b_adp,59,2.5402899313842133,3.2693306141763627,0.7588009364943998,0.7894736842105263
2021,TE,p_model,20,1.8516001656283485,2.335659258747065,0.5699248120300752,0.8333333333333334
2021,TE,b_adp,20,1.9203700932698786,2.4591653981390706,0.6860756438503527,1.0
2021,WR,p_model,64,2.343253240537236,3.159451421816808,0.5497252747252747,0.6190476190476191
2021,WR,b_adp,64,2.4654242791299965,3.163226530597725,0.5548835744309345,0.6190476190476191
2022,QB,p_model,21,4.036948083775888,5.09377342097653,0.45584415584415583,0.5714285714285714
2022,QB,b_adp,21,3.8098803387277647,4.891244655486972,0.4795648548240895,0.7142857142857143
2022,RB,p_model,49,2.9953383599014334,3.648265267705385,0.5297959183673469,0.6875
2022,RB,b_adp,49,2.6203811022664634,3.3040172213108474,0.6317413635190351,0.6875
2022,TE,p_model,19,1.767449159691515,2.229851229051449,0.6175438596491227,0.6666666666666666
2022,TE,b_adp,19,1.8008656349933847,2.213506890312242,0.4853415199397674,0.5
2022,WR,p_model,56,1.782624296728761,2.1321863111380166,0.8017088174982913,0.7222222222222222
2022,WR,b_adp,56,1.8967720920857165,2.202889692177027,0.7549265647836104,0.6666666666666666
2023,QB,p_model,23,4.066514760722381,5.950154173439656,0.21739130434782608,0.42857142857142855
2023,QB,b_adp,23,3.6828859446208275,5.513165732536621,0.3060154978915819,0.42857142857142855
2023,RB,p_model,57,3.153143092567419,3.6632400979812743,0.566738506985657,0.6842105263157895
2023,RB,b_adp,57,3.136816068451137,3.7203821368590124,0.5422883953684047,0.5789473684210527
2023,TE,p_model,20,1.9915123575912257,2.276232029553129,0.5022556390977443,0.8333333333333334
2023,TE,b_adp,20,1.8589328672119585,2.1601633121335992,0.6411218721687646,0.6666666666666666
2023,WR,p_model,65,2.2888278375097473,2.830731134212482,0.7839597902097902,0.7619047619047619
2023,WR,b_adp,65,2.2709119239223807,2.85872361836599,0.7671036248705027,0.7142857142857143
