season,pos,model,n,mae,rmse,spearman,top_hit
2016,QB,p_model,22,3.136912577931523,4.0827493325464905,0.15979672501411638,0.42857142857142855
2016,QB,b_adp,22,2.563519867223143,3.4817351738800126,0.39877379389104367,0.7142857142857143
2016,RB,p_model,53,3.840104389875516,4.913556280171987,0.10554749233994516,0.29411764705882354
2016,RB,b_adp,53,3.374736303429067,4.336733215694002,0.35987733595461,0.5294117647058824
2016,TE,p_model,18,1.0524530289125051,1.571100852309613,0.7770897832817338,0.6666666666666666
2016,TE,b_adp,18,1.7005975428892102,1.9390774411056646,0.6163055436853303,0.6666666666666666
2016,WR,p_model,54,2.4443484400522624,2.9764877454511254,0.5495816578405764,0.5555555555555556
2016,WR,b_adp,54,2.166479033445058,2.625942505421433,0.5695672381432275,0.6111111111111112
2017,QB,p_model,22,3.1125396738685707,3.7349160376535453,0.4590626764539809,0.42857142857142855
2017,QB,b_adp,22,2.8068496805599215,3.580304299621665,0.29409798742573545,0.42857142857142855
2017,RB,p_model,48,3.6283509123702458,4.436816844856309,0.41425353504006474,0.625
2017,RB,b_adp,48,3.0849861309261755,3.9304485998595804,0.572691188304579,0.6875
2017,TE,p_model,21,2.488731489083662,3.2207919839613672,0.2311688311688312,0.5714285714285714
2017,TE,b_adp,21,1.8016651767044085,2.6230521877581032,0.5335319623800189,0.5714285714285714
2017,WR,p_model,62,2.847636602718293,3.562237119953786,0.4699705371307698,0.65
2017,WR,b_adp,62,2.609671559889751,3.2944925951776445,0.570605517117401,0.6
2018,QB,p_model,25,3.909312876779999,5.4769340308517105,0.22846153846153847,0.375
2018,QB,b_adp,25,3.0882539414766517,4.092702575203994,0.5448560853324136,0.5
2018,RB,p_model,53,3.7193253763166063,4.559288884104979,0.49166448293498083,0.5882352941176471
2018,RB,b_adp,53,3.2297651819994386,4.270832676814809,0.5889349664130723,0.6470588235294118
2018,TE,p_model,20,1.9738273245837399,2.561044734096494,0.6195488721804511,0.6666666666666666
2018,TE,b_adp,20,2.3341981315432525,2.8595353888783706,0.2511815762394167,0.5
2018,WR,p_model,64,2.6069584944893096,3.1811273500664146,0.6744811639769274,0.7142857142857143
2018,WR,b_adp,64,2.3106501677261972,2.82401859536375,0.7185272257785881,0.7619047619047619
2019,QB,p_model,24,4.58386803684077,6.235252546595922,-0.29478260869565215,0.125
2019,QB,b_adp,24,3.666494335728119,5.349494304269678,0.30375639336869165,0.375
2019,RB,p_model,50,3.10642121003966,3.855316896728574,0.655798319327731,0.6875
2019,RB,b_adp,50,2.531853478423765,3.4820505018993555,0.8028836454930821,0.6875
2019,TE,p_model,17,2.3048705931350644,2.8751882632564385,0.5196078431372549,0.8
2019,TE,b_adp,17,2.3065090200873892,2.810381003185587,0.4412145162687163,0.6
2019,WR,p_model,62,2.4268494206977755,3.228131491457991,0.5764470354645378,0.55
2019,WR,b_adp,62,2.4704703682280225,3.157493225702327,0.5722752180741042,0.6
2020,QB,p_model,26,4.2549627679874,5.169550700675997,0.45572649572649565,0.625
2020,QB,b_adp,26,3.7858508771368076,4.786136676417215,0.6764661141484987,0.75
2020,RB,p_model,55,3.3358113808868595,4.144057361366803,0.6360750360750361,0.7222222222222222
2020,RB,b_adp,55,2.9933981345125766,3.925302971089438,0.698583177597341,0.7777777777777778
2020,TE,p_model,22,2.056923643666164,2.7362511813715393,0.313382269904009,0.5714285714285714
2020,TE,b_adp,22,1.71884934507682,2.266252892936283,0.5431535648560131,0.5714285714285714
2020,WR,p_model,58,2.3682499716584995,2.9236243964641413,0.4960780091666923,0.5789473684210527
2020,WR,b_adp,58,1.9828272951104091,2.5847045187088473,0.7149951407138971,0.5789473684210527
2021,QB,p_model,22,3.350299749045713,4.78831559539618,0.6939582156973463,0.7142857142857143
2021,QB,b_adp,22,3.1639425563871373,4.47254397804345,0.784723058074943,0.8571428571428571
2021,RB,p_model,59,2.726920728255532,3.4584036753780922,0.6998246639392168,0.7368421052631579
2021,RB,b_adp,59,2.5402899313842133,3.2693306141763627,0.7588009364943998,0.7894736842105263
2021,TE,p_model,20,1.9858722536180125,2.584536204028177,0.5924812030075187,0.8333333333333334
2021,TE,b_adp,20,1.9203700932698786,2.4591653981390706,0.6860756438503527,1.0
2021,WR,p_model,64,2.46374813213015,3.300656409239842,0.48543956043956044,0.6190476190476191
2021,WR,b_adp,64,2.4654242791299965,3.163226530597725,0.5548835744309345,0.6190476190476191
2022,QB,p_model,21,4.930669388665091,6.094409965486716,0.08051948051948052,0.42857142857142855
2022,QB,b_adp,21,3.8098803387277647,4.891244655486972,0.4795648548240895,0.7142857142857143
2022,RB,p_model,49,3.12210167203274,3.761815947650601,0.5447959183673469,0.625
2022,RB,b_adp,49,2.6203811022664634,3.3040172213108474,0.6317413635190351,0.6875
